Temperature (°C),Timestamp
33.6,22/06/2021 11:15:00
33,22/06/2021 11:30:00
34,22/06/2021 11:45:00
33.9,22/06/2021 12:00:00
33.9,22/06/2021 12:15:00
34.8,22/06/2021 12:30:00
34.4,22/06/2021 12:45:00
34.5,22/06/2021 13:00:00
33.9,22/06/2021 13:15:00
34.1,22/06/2021 13:30:00
34.8,22/06/2021 13:45:00
35,22/06/2021 14:00:00
35.1,22/06/2021 14:15:00
34.4,22/06/2021 14:30:00
32.3,22/06/2021 14:45:00
34.5,22/06/2021 15:00:00
34.6,22/06/2021 15:15:00
34.8,22/06/2021 15:30:00
35.5,22/06/2021 15:45:00
34.5,22/06/2021 16:00:00
34.8,22/06/2021 16:15:00
34.8,22/06/2021 16:30:00
35.9,22/06/2021 16:45:00
36,22/06/2021 17:00:00
35.1,22/06/2021 17:15:00
35.1,22/06/2021 17:30:00
34.2,22/06/2021 17:45:00
34.1,22/06/2021 18:00:00
33.7,22/06/2021 18:15:00
33.3,22/06/2021 18:30:00
32.1,22/06/2021 18:45:00
32,22/06/2021 19:00:00
30.6,22/06/2021 19:15:00
30,22/06/2021 19:30:00
29,22/06/2021 19:45:00
26.2,22/06/2021 20:00:00
26,22/06/2021 20:15:00
25.4,22/06/2021 20:30:00
24.6,22/06/2021 20:45:00
23.8,22/06/2021 21:00:00
23.2,22/06/2021 21:15:00
23,22/06/2021 21:30:00
23.5,22/06/2021 21:45:00
23.5,22/06/2021 22:00:00
23.6,22/06/2021 22:15:00
23.8,22/06/2021 22:30:00
23.5,22/06/2021 22:45:00
23.2,22/06/2021 23:00:00
23.1,22/06/2021 23:15:00
23,22/06/2021 23:30:00
22.2,22/06/2021 23:45:00
21.4,23/06/2021 00:00:00
20.8,23/06/2021 00:15:00
20.8,23/06/2021 00:30:00
20.4,23/06/2021 00:45:00
19.9,23/06/2021 01:00:00
19.7,23/06/2021 01:15:00
19.3,23/06/2021 01:30:00
19.3,23/06/2021 01:45:00
19.1,23/06/2021 02:00:00
19.1,23/06/2021 02:15:00
18.9,23/06/2021 02:30:00
18.8,23/06/2021 02:45:00
18.7,23/06/2021 03:00:00
18.9,23/06/2021 03:15:00
19,23/06/2021 03:30:00
18.8,23/06/2021 03:45:00
18.6,23/06/2021 04:00:00
18.2,23/06/2021 04:15:00
17.9,23/06/2021 04:30:00
17.5,23/06/2021 04:45:00
17.3,23/06/2021 05:00:00
17.2,23/06/2021 05:15:00
17.4,23/06/2021 05:30:00
17.7,23/06/2021 05:45:00
18.3,23/06/2021 06:00:00
18.7,23/06/2021 06:15:00
18.7,23/06/2021 06:30:00
19.4,23/06/2021 06:45:00
20.3,23/06/2021 07:00:00
20.2,23/06/2021 07:15:00
21.2,23/06/2021 07:30:00
22.6,23/06/2021 07:45:00
23.9,23/06/2021 08:00:00
25.2,23/06/2021 08:15:00
26.6,23/06/2021 08:30:00
27.1,23/06/2021 08:45:00
28,23/06/2021 09:00:00
28.4,23/06/2021 09:15:00
29.8,23/06/2021 09:30:00
30.1,23/06/2021 09:45:00
30.8,23/06/2021 10:00:00
30.1,23/06/2021 10:15:00
31.1,23/06/2021 10:30:00
30.8,23/06/2021 10:45:00
31.9,23/06/2021 11:00:00
31.8,23/06/2021 11:15:00
32.6,23/06/2021 11:30:00
32.9,23/06/2021 11:45:00
33.1,23/06/2021 12:00:00
33.7,23/06/2021 12:15:00
33.9,23/06/2021 12:30:00
34.1,23/06/2021 12:45:00
34.5,23/06/2021 13:00:00
34.2,23/06/2021 13:15:00
34.4,23/06/2021 13:30:00
34.1,23/06/2021 13:45:00
34.5,23/06/2021 14:00:00
34.7,23/06/2021 14:15:00
34.8,23/06/2021 14:30:00
34.2,23/06/2021 14:45:00
35.2,23/06/2021 15:00:00
35.1,23/06/2021 15:15:00
34.6,23/06/2021 15:30:00
33.9,23/06/2021 15:45:00
33.3,23/06/2021 16:00:00
32.2,23/06/2021 16:15:00
31.8,23/06/2021 16:30:00
31.5,23/06/2021 16:45:00
31,23/06/2021 17:00:00
29.9,23/06/2021 17:15:00
29.8,23/06/2021 17:30:00
29.5,23/06/2021 17:45:00
28.8,23/06/2021 18:00:00
28.8,23/06/2021 18:15:00
28.6,23/06/2021 18:30:00
28.8,23/06/2021 18:45:00
29.9,23/06/2021 19:00:00
29.9,23/06/2021 19:15:00
28.9,23/06/2021 19:30:00
28.1,23/06/2021 19:45:00
27.2,23/06/2021 20:00:00
26.5,23/06/2021 20:15:00
25.7,23/06/2021 20:30:00
24.7,23/06/2021 20:45:00
24.2,23/06/2021 21:00:00
23.2,23/06/2021 21:15:00
23.2,23/06/2021 21:30:00
22.4,23/06/2021 21:45:00
21.9,23/06/2021 22:00:00
21.6,23/06/2021 22:15:00
21.4,23/06/2021 22:30:00
21.1,23/06/2021 22:45:00
21,23/06/2021 23:00:00
