Solar radiation (klux),Timestamp
51,2021-06-22 11:15:00
67,2021-06-22 11:30:00
66,2021-06-22 11:45:00
73,2021-06-22 12:00:00
71,2021-06-22 12:15:00
68,2021-06-22 12:30:00
66,2021-06-22 12:45:00
68,2021-06-22 13:00:00
70,2021-06-22 13:15:00
66,2021-06-22 13:30:00
67,2021-06-22 13:45:00
65,2021-06-22 14:00:00
62,2021-06-22 14:15:00
64,2021-06-22 14:30:00
63,2021-06-22 14:45:00
55,2021-06-22 15:00:00
56,2021-06-22 15:15:00
54,2021-06-22 15:30:00
40,2021-06-22 15:45:00
48,2021-06-22 16:00:00
27,2021-06-22 16:15:00
26,2021-06-22 16:30:00
29,2021-06-22 16:45:00
29,2021-06-22 17:00:00
36,2021-06-22 17:15:00
35,2021-06-22 17:30:00
33,2021-06-22 17:45:00
21,2021-06-22 18:00:00
25,2021-06-22 18:15:00
23,2021-06-22 18:30:00
19,2021-06-22 18:45:00
17,2021-06-22 19:00:00
14,2021-06-22 19:15:00
10,2021-06-22 19:30:00
7,2021-06-22 19:45:00
4,2021-06-22 20:00:00
1,2021-06-22 20:15:00
1,2021-06-22 20:30:00
0,2021-06-22 20:45:00
0,2021-06-22 21:00:00
0,2021-06-22 21:15:00
0,2021-06-22 21:30:00
0,2021-06-22 21:45:00
0,2021-06-22 22:00:00
0,2021-06-22 22:15:00
0,2021-06-22 22:30:00
0,2021-06-22 22:45:00
0,2021-06-22 23:00:00
0,2021-06-22 23:15:00
0,2021-06-22 23:30:00
0,2021-06-22 23:45:00
0,2021-06-23 00:00:00
0,2021-06-23 00:15:00
0,2021-06-23 00:30:00
0,2021-06-23 00:45:00
0,2021-06-23 01:00:00
0,2021-06-23 01:15:00
0,2021-06-23 01:30:00
0,2021-06-23 01:45:00
0,2021-06-23 02:00:00
0,2021-06-23 02:15:00
0,2021-06-23 02:30:00
0,2021-06-23 02:45:00
0,2021-06-23 03:00:00
0,2021-06-23 03:15:00
0,2021-06-23 03:30:00
0,2021-06-23 03:45:00
0,2021-06-23 04:00:00
0,2021-06-23 04:15:00
0,2021-06-23 04:30:00
0,2021-06-23 04:45:00
0,2021-06-23 05:00:00
0,2021-06-23 05:15:00
0,2021-06-23 05:30:00
1,2021-06-23 05:45:00
1,2021-06-23 06:00:00
1,2021-06-23 06:15:00
2,2021-06-23 06:30:00
8,2021-06-23 06:45:00
7,2021-06-23 07:00:00
3,2021-06-23 07:15:00
12,2021-06-23 07:30:00
14,2021-06-23 07:45:00
16,2021-06-23 08:00:00
